epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.606,1.12221,1.33251,1.14909,0.81727,0.62006,0.74387,0.54468,1.15337,1.17462,1.17904,0.0676226,0.000327044,0.000327044
2,461.075,1.05309,0.88528,1.12262,0.78659,0.64121,0.75637,0.57681,1.02496,1.25008,1.13935,0.0345573,0.000595,0.000595
3,691.336,1.05547,0.81406,1.12545,0.86566,0.74402,0.83172,0.65443,0.90242,0.85284,1.08444,0.00142589,0.000796956,0.000796956
4,920.475,1.00982,0.76821,1.08165,0.91718,0.76529,0.87843,0.68649,0.93995,0.74265,1.11165,0.000703,0.000703,0.000703
5,1139.83,1.01259,0.7592,1.09575,0.9572,0.78172,0.88532,0.73337,0.77605,0.60117,1.00662,0.000604,0.000604,0.000604
6,1358.65,0.92316,0.6844,1.0661,0.97303,0.76884,0.88612,0.73564,0.81213,0.63248,1.00413,0.000505,0.000505,0.000505
7,1578.92,0.85188,0.64759,1.05349,0.94945,0.7839,0.88163,0.74914,0.75031,0.60292,0.97146,0.000406,0.000406,0.000406
8,1797.79,0.75131,0.5493,1.00896,0.97944,0.80403,0.90813,0.79678,0.66168,0.5092,0.94285,0.000307,0.000307,0.000307
9,2016.3,0.686,0.48561,0.96527,0.98875,0.80893,0.9076,0.80172,0.62105,0.46442,0.92556,0.000208,0.000208,0.000208
10,2235.43,0.64964,0.45062,0.96249,0.94394,0.85476,0.92174,0.80699,0.61165,0.43128,0.92685,0.000109,0.000109,0.000109
